,Area Code (FAO),Area,Months Code,Months,Year Code,Year,Value
9304,9,Argentina,7003,March,1965,1965,-0.506
9305,9,Argentina,7003,March,1966,1966,-0.043
9306,9,Argentina,7003,March,1967,1967,-0.574
9307,9,Argentina,7003,March,1968,1968,-0.525
9308,9,Argentina,7003,March,1969,1969,0.154
9309,9,Argentina,7003,March,1970,1970,0.346
9310,9,Argentina,7003,March,1971,1971,-0.292
9311,9,Argentina,7003,March,1972,1972,-0.972
9312,9,Argentina,7003,March,1973,1973,0.799
9313,9,Argentina,7003,March,1974,1974,0.17
9314,9,Argentina,7003,March,1975,1975,-0.273
9315,9,Argentina,7003,March,1976,1976,-2.057
9316,9,Argentina,7003,March,1977,1977,0.428
9317,9,Argentina,7003,March,1978,1978,0.431
9318,9,Argentina,7003,March,1979,1979,-0.337
9319,9,Argentina,7003,March,1980,1980,2.21
9320,9,Argentina,7003,March,1981,1981,0.093
9321,9,Argentina,7003,March,1982,1982,0.296
9322,9,Argentina,7003,March,1983,1983,0.305
9323,9,Argentina,7003,March,1984,1984,0.126
9324,9,Argentina,7003,March,1985,1985,0.147
9325,9,Argentina,7003,March,1986,1986,-0.772
9326,9,Argentina,7003,March,1987,1987,0.615
9327,9,Argentina,7003,March,1988,1988,1.336
9328,9,Argentina,7003,March,1989,1989,-0.121
9329,9,Argentina,7003,March,1990,1990,-0.198
9330,9,Argentina,7003,March,1991,1991,1.005
9331,9,Argentina,7003,March,1992,1992,1.035
9332,9,Argentina,7003,March,1993,1993,1.153
9333,9,Argentina,7003,March,1994,1994,0.276
9334,9,Argentina,7003,March,1995,1995,0.016
9335,9,Argentina,7003,March,1996,1996,0.746
9336,9,Argentina,7003,March,1997,1997,0.461
9337,9,Argentina,7003,March,1998,1998,-0.544
9338,9,Argentina,7003,March,1999,1999,0.333
9339,9,Argentina,7003,March,2000,2000,-0.59
9340,9,Argentina,7003,March,2001,2001,0.801
9341,9,Argentina,7003,March,2002,2002,0.308
9342,9,Argentina,7003,March,2003,2003,0.776
9343,9,Argentina,7003,March,2004,2004,1.498
9344,9,Argentina,7003,March,2005,2005,0.042
9345,9,Argentina,7003,March,2006,2006,0.113
9346,9,Argentina,7003,March,2007,2007,0.185
9347,9,Argentina,7003,March,2008,2008,0.636
9348,9,Argentina,7003,March,2009,2009,1.762
9349,9,Argentina,7003,March,2010,2010,1.426
9350,9,Argentina,7003,March,2011,2011,0.148
9351,9,Argentina,7003,March,2012,2012,0.863
9352,9,Argentina,7003,March,2013,2013,-1.096
9353,9,Argentina,7003,March,2014,2014,-0.812
9354,9,Argentina,7003,March,2015,2015,1.445
9355,9,Argentina,7003,March,2016,2016,0.401
9356,9,Argentina,7003,March,2017,2017,0.623
9357,9,Argentina,7003,March,2018,2018,0.323
9358,9,Argentina,7003,March,2019,2019,-0.414
9359,9,Argentina,7003,March,2020,2020,2.702
9360,9,Argentina,7004,April,1961,1961,-0.415
9361,9,Argentina,7004,April,1962,1962,-0.487
9362,9,Argentina,7004,April,1963,1963,1.384
9363,9,Argentina,7004,April,1964,1964,0.173
9364,9,Argentina,7004,April,1965,1965,-0.269
9365,9,Argentina,7004,April,1966,1966,0.88
9366,9,Argentina,7004,April,1967,1967,1.382
9367,9,Argentina,7004,April,1968,1968,-0.921
9368,9,Argentina,7004,April,1969,1969,0.944
9369,9,Argentina,7004,April,1970,1970,2.386
9370,9,Argentina,7004,April,1971,1971,-1.482
9371,9,Argentina,7004,April,1972,1972,0.182
9372,9,Argentina,7004,April,1973,1973,-0.082
9373,9,Argentina,7004,April,1974,1974,0.669
9374,9,Argentina,7004,April,1975,1975,0.594
9375,9,Argentina,7004,April,1976,1976,-0.835
9376,9,Argentina,7004,April,1977,1977,1.019
9377,9,Argentina,7004,April,1978,1978,0.536
9378,9,Argentina,7004,April,1979,1979,-0.263
9379,9,Argentina,7004,April,1980,1980,0.357
9380,9,Argentina,7004,April,1981,1981,0.764
9381,9,Argentina,7004,April,1982,1982,1.407
9382,9,Argentina,7004,April,1983,1983,0.561
9383,9,Argentina,7004,April,1984,1984,-0.576
9384,9,Argentina,7004,April,1985,1985,-0.034
9385,9,Argentina,7004,April,1986,1986,0.747
9386,9,Argentina,7004,April,1987,1987,0.929
9387,9,Argentina,7004,April,1988,1988,-0.39
9388,9,Argentina,7004,April,1989,1989,0.674
9389,9,Argentina,7004,April,1990,1990,-0.078
9390,9,Argentina,7004,April,1991,1991,0.861
9391,9,Argentina,7004,April,1992,1992,-0.079
9392,9,Argentina,7004,April,1993,1993,0.409
9393,9,Argentina,7004,April,1994,1994,0.132
9394,9,Argentina,7004,April,1995,1995,0.562
9395,9,Argentina,7004,April,1996,1996,0.17
9396,9,Argentina,7004,April,1997,1997,1.687
9397,9,Argentina,7004,April,1998,1998,0.184
9398,9,Argentina,7004,April,1999,1999,-0.881
9399,9,Argentina,7004,April,2000,2000,0.921
9400,9,Argentina,7004,April,2001,2001,0.169
9401,9,Argentina,7004,April,2002,2002,-0.066
9402,9,Argentina,7004,April,2003,2003,-0.037
9403,9,Argentina,7004,April,2004,2004,1.158
9404,9,Argentina,7004,April,2005,2005,-0.687
9405,9,Argentina,7004,April,2006,2006,0.862
9406,9,Argentina,7004,April,2007,2007,0.86
9407,9,Argentina,7004,April,2008,2008,0.274
9408,9,Argentina,7004,April,2009,2009,2.243
9409,9,Argentina,7004,April,2010,2010,-0.184
9410,9,Argentina,7004,April,2011,2011,0.749
9411,9,Argentina,7004,April,2012,2012,0.204
9412,9,Argentina,7004,April,2013,2013,1.491
9413,9,Argentina,7004,April,2014,2014,0.206
9414,9,Argentina,7004,April,2015,2015,2.158
9415,9,Argentina,7004,April,2016,2016,-0.068
9416,9,Argentina,7004,April,2017,2017,0.427
9417,9,Argentina,7004,April,2018,2018,2.879
9418,9,Argentina,7004,April,2019,2019,1.406
9419,9,Argentina,7004,April,2020,2020,1.321
9420,9,Argentina,7005,May,1961,1961,1.07
9421,9,Argentina,7005,May,1962,1962,-0.707
9422,9,Argentina,7005,May,1963,1963,0.264
9423,9,Argentina,7005,May,1964,1964,0.949
9424,9,Argentina,7005,May,1965,1965,-1.04
9425,9,Argentina,7005,May,1966,1966,0.94
9426,9,Argentina,7005,May,1967,1967,2.524
9427,9,Argentina,7005,May,1968,1968,-0.17
9428,9,Argentina,7005,May,1969,1969,0.877
9429,9,Argentina,7005,May,1970,1970,0.12
9430,9,Argentina,7005,May,1971,1971,-1.307
9431,9,Argentina,7005,May,1972,1972,0.74
9432,9,Argentina,7005,May,1973,1973,-0.7
9433,9,Argentina,7005,May,1974,1974,0.204
9434,9,Argentina,7005,May,1975,1975,0.295
9435,9,Argentina,7005,May,1976,1976,-0.115
9436,9,Argentina,7005,May,1977,1977,-0.551
9437,9,Argentina,7005,May,1978,1978,0.126
9438,9,Argentina,7005,May,1979,1979,-0.168
9439,9,Argentina,7005,May,1980,1980,0.97
9440,9,Argentina,7005,May,1981,1981,1.934
9441,9,Argentina,7005,May,1982,1982,1.403
9442,9,Argentina,7005,May,1983,1983,-0.189
9443,9,Argentina,7005,May,1984,1984,-0.729
9444,9,Argentina,7005,May,1985,1985,0.798
9445,9,Argentina,7005,May,1986,1986,0.231
9446,9,Argentina,7005,May,1987,1987,-2.045
9447,9,Argentina,7005,May,1988,1988,-1.982
9448,9,Argentina,7005,May,1989,1989,-0.263
9449,9,Argentina,7005,May,1990,1990,-0.422
9450,9,Argentina,7005,May,1991,1991,1.108
9451,9,Argentina,7005,May,1992,1992,-0.825
9452,9,Argentina,7005,May,1993,1993,-0.61
9453,9,Argentina,7005,May,1994,1994,1.343
9454,9,Argentina,7005,May,1995,1995,0.41
9455,9,Argentina,7005,May,1996,1996,1.139
9456,9,Argentina,7005,May,1997,1997,1.164
9457,9,Argentina,7005,May,1998,1998,0.863
9458,9,Argentina,7005,May,1999,1999,-0.146
9459,9,Argentina,7005,May,2000,2000,-0.55
9460,9,Argentina,7005,May,2001,2001,-0.688
9461,9,Argentina,7005,May,2002,2002,0.58
9462,9,Argentina,7005,May,2003,2003,0.419
9463,9,Argentina,7005,May,2004,2004,-1.945
9464,9,Argentina,7005,May,2005,2005,-0.162
9465,9,Argentina,7005,May,2006,2006,-0.957
9466,9,Argentina,7005,May,2007,2007,-2.267
9467,9,Argentina,7005,May,2008,2008,-0.345
9468,9,Argentina,7005,May,2009,2009,0.98
9469,9,Argentina,7005,May,2010,2010,-0.472
9470,9,Argentina,7005,May,2011,2011,0.084
9471,9,Argentina,7005,May,2012,2012,1.079
