,Area Code (FAO),Area,Months Code,Months,Year Code,Year,Value
73814,67,Finland,7001,January,1961,1961,2.752
73815,67,Finland,7001,January,1962,1962,1.747
73816,67,Finland,7001,January,1963,1963,-2.155
73817,67,Finland,7001,January,1964,1964,5.251
73818,67,Finland,7001,January,1965,1965,2.286
73819,67,Finland,7001,January,1966,1966,-6.942
73820,67,Finland,7001,January,1967,1967,-4.366
73821,67,Finland,7001,January,1968,1968,-7.323
73822,67,Finland,7001,January,1969,1969,-2.655
73823,67,Finland,7001,January,1970,1970,-1.727
73824,67,Finland,7001,January,1971,1971,3.36
73825,67,Finland,7001,January,1972,1972,0.026
73826,67,Finland,7001,January,1973,1973,5.228
73827,67,Finland,7001,January,1974,1974,3.403
73828,67,Finland,7001,January,1975,1975,4.125
73829,67,Finland,7001,January,1976,1976,-4.249
73830,67,Finland,7001,January,1977,1977,0.783
73831,67,Finland,7001,January,1978,1978,-0.155
73832,67,Finland,7001,January,1979,1979,-2.824
73833,67,Finland,7001,January,1980,1980,-1.69
73834,67,Finland,7001,January,1981,1981,1.895
73835,67,Finland,7001,January,1982,1982,-4.53
73836,67,Finland,7001,January,1983,1983,4.048
73837,67,Finland,7001,January,1984,1984,0.637
73838,67,Finland,7001,January,1985,1985,-8.391
73839,67,Finland,7001,January,1986,1986,-3.082
73840,67,Finland,7001,January,1987,1987,-8.742
73841,67,Finland,7001,January,1988,1988,2.679
73842,67,Finland,7001,January,1989,1989,6.107
73843,67,Finland,7001,January,1990,1990,0.408
73844,67,Finland,7001,January,1991,1991,2.851
73845,67,Finland,7001,January,1992,1992,5.036
73846,67,Finland,7001,January,1993,1993,4.527
73847,67,Finland,7001,January,1994,1994,0.309
73848,67,Finland,7001,January,1995,1995,4.216
73849,67,Finland,7001,January,1996,1996,3.103
73850,67,Finland,7001,January,1997,1997,1.806
73851,67,Finland,7001,January,1998,1998,3.866
73852,67,Finland,7001,January,1999,1999,-0.927
73853,67,Finland,7001,January,2000,2000,3.621
73854,67,Finland,7001,January,2001,2001,5.622
73855,67,Finland,7001,January,2002,2002,1.936
73856,67,Finland,7001,January,2003,2003,-4.143
73857,67,Finland,7001,January,2004,2004,0.655
73858,67,Finland,7001,January,2005,2005,5.637
73859,67,Finland,7001,January,2006,2006,3.017
73860,67,Finland,7001,January,2007,2007,2.998
73861,67,Finland,7001,January,2008,2008,6.0
73862,67,Finland,7001,January,2009,2009,2.878
73863,67,Finland,7001,January,2010,2010,-3.413
73864,67,Finland,7001,January,2011,2011,0.819
73865,67,Finland,7001,January,2012,2012,1.758
73866,67,Finland,7001,January,2013,2013,2.358
73867,67,Finland,7001,January,2014,2014,-0.144
73868,67,Finland,7001,January,2015,2015,2.739
73869,67,Finland,7001,January,2016,2016,-3.294
73870,67,Finland,7001,January,2017,2017,4.365
73871,67,Finland,7001,January,2018,2018,3.424
73872,67,Finland,7001,January,2019,2019,-0.265
73873,67,Finland,7001,January,2020,2020,7.509
73874,67,Finland,7002,February,1961,1961,5.77
73875,67,Finland,7002,February,1962,1962,2.213
73876,67,Finland,7002,February,1963,1963,-2.943
73877,67,Finland,7002,February,1964,1964,-1.178
73878,67,Finland,7002,February,1965,1965,0.413
73879,67,Finland,7002,February,1966,1966,-8.15
73880,67,Finland,7002,February,1967,1967,2.524
73881,67,Finland,7002,February,1968,1968,-0.022
73882,67,Finland,7002,February,1969,1969,-3.458
73883,67,Finland,7002,February,1970,1970,-5.513
73884,67,Finland,7002,February,1971,1971,0.068
73885,67,Finland,7002,February,1972,1972,2.255
73886,67,Finland,7002,February,1973,1973,2.563
